;
; Default Character Data
; 2005.6 By CJC
; 

;-------------------------------- DEFINE SCRIPTOR COMMAND ---------------------------------
#DEFINE CHARACTER
	<INTEGER>		; Class

	<STRING>		; Start Map name
	<INTEGER>		; Start PX
	<INTEGER>		; Start PY

	<INTEGER>		; HP
	<INTEGER>		; SP
	<INTEGER>		; HP Soul stone count
	<INTEGER>		; SP Soul stone count

	<INTEGER>		; Money
	#ENDDEFINE
	
#DEFINE ITEM
	<INTEGER>		; Class
	<INTEGER>		; Item ID
	<INTEGER>		; Item Lot
	#ENDDEFINE

#DEFINE SKILL
	<INTEGER>		; Class
	<INTEGER>		; Skill ID
	#ENDDEFINE

#DEFINE QUEST
	<INTEGER>		; Class
	<INTEGER>		; Quest ID
	#ENDDEFINE
	
	
;----------------------------------- DEFINE DATA -----------------------------------
; Class:
;	1 = Fighter
;	8 = Cleric
;	15 = Archer
;	22 = Mage

;-----------------------------------------------------------------------------------
;		Class		Map	PX	PY	HP	SP	HPSoul		SPSoul		Money
CHARACTER	1,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	2,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	3,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	4,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	5,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	6,		"Rou",	7744,	4735,	52,	10,	15,		7,		0
CHARACTER	7,		"Rou",	7744,	4735,	52,	10,	15,		7,		0

CHARACTER	8,		"Rou",	7744,	4735,	46,	32,	14,		10,		0
CHARACTER	9,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	10,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	11,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	12,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	13,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	
CHARACTER	14,		"Rou",	7744,	4735,	46,	32,	14,		10,		0	

CHARACTER	15,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	16,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	17,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	18,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	19,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	20,		"Rou",	7744,	4735,	46,	24,	13,		10,		0
CHARACTER	21,		"Rou",	7744,	4735,	46,	24,	13,		10,		0

CHARACTER	22,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	23,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	24,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	25,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	26,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	27,		"Rou",	7744,	4735,	42,	46,	11,		15,		0
CHARACTER	28,		"Rou",	7744,	4735,	42,	46,	11,		15,		0

;-----------------------------------------------------------------------------------												
;		Class		ItemID,		Lot	; 생성되면 이미 인벤이 있는 아이템임		
ITEM		1,		250,		1	; 숏소드
ITEM		2,		250,		1	; 숏소드
ITEM		3,		250,		1	; 숏소드
ITEM		4,		250,		1	; 숏소드
ITEM		5,		250,		1	; 숏소드
ITEM		6,		250,		1	; 숏소드
ITEM		7,		250,		1	; 숏소드

ITEM		8,		750,	1	; 숏메이스	
ITEM		9,		750,	1	; 숏메이스	
ITEM		10,		750,	1	; 숏메이스	
ITEM		11,		750,	1	; 숏메이스	
ITEM		12,		750,	1	; 숏메이스	
ITEM		13,		750,	1	; 숏메이스	
ITEM		14,		750,	1	; 숏메이스

ITEM		15,		1250,	1	; 숏보우
ITEM		16,		1250,	1	; 숏보우
ITEM		17,		1250,	1	; 숏보우
ITEM		18,		1250,	1	; 숏보우
ITEM		19,		1250,	1	; 숏보우
ITEM		20,		1250,	1	; 숏보우
ITEM		21,		1250,	1	; 숏보우

ITEM		22,		1750,	1	; 숏스태프
ITEM		23,		1750,	1	; 숏스태프
ITEM		24,		1750,	1	; 숏스태프
ITEM		25,		1750,	1	; 숏스태프
ITEM		26,		1750,	1	; 숏스태프
ITEM		27,		1750,	1	; 숏스태프
ITEM		28,		1750,	1	; 숏스태프
;-----------------------------------------------------------------------------------
; 		    Class	Skill ID	; 생성되면 이미 배운것임		
SKILL		22,		6000,		; 매직미사일01
SKILL		23,		6000,		; 매직미사일01
SKILL		24,		6000,		; 매직미사일01
SKILL		25,		6000,		; 매직미사일01
SKILL		26,		6000,		; 매직미사일01
SKILL		27,		6000,		; 매직미사일01
SKILL		28,		6000,		; 매직미사일01

SKILL       1,	    29200,	    ;은빛날개 사용
SKILL       2,	    29200,		;은빛날개 사용
SKILL       3,	    29200,      ;은빛날개 사용
SKILL       4,	    29200,      ;은빛날개 사용
SKILL       5,	    29200,      ;은빛날개 사용
SKILL       6,	    29200,      ;은빛날개 사용
SKILL       7,	    29200,      ;은빛날개 사용
SKILL       8,	    29200,		;은빛날개 사용
SKILL       9,	    29200,      ;은빛날개 사용
SKILL       10,	    29200,      ;은빛날개 사용
SKILL       11,	    29200,      ;은빛날개 사용
SKILL       12,	    29200,		;은빛날개 사용
SKILL       13,	    29200,      ;은빛날개 사용
SKILL		14,	    29200,      ;은빛날개 사용
SKILL       15,	    29200,      ;은빛날개 사용
SKILL       16,	    29200,		;은빛날개 사용
SKILL       17,	    29200,      ;은빛날개 사용
SKILL       18,	    29200,      ;은빛날개 사용
SKILL       19,	    29200,      ;은빛날개 사용
SKILL       20,		29200,		;은빛날개 사용
SKILL       21,	    29200,      ;은빛날개 사용
SKILL       22,	    29200,      ;은빛날개 사용
SKILL       23,	    29200,      ;은빛날개 사용
SKILL       24,	    29200,		;은빛날개 사용
SKILL       25,	    29200,      ;은빛날개 사용
SKILL       26,	    29200,      ;은빛날개 사용
SKILL       27,	    29200,      ;은빛날개 사용
SKILL       28,	    29200,		;은빛날개 사용

SKILL       1,	    29201,	    ;귀환스크롤 사용
SKILL       2,	    29201,		;귀환스크롤 사용
SKILL       3,	    29201,      ;귀환스크롤 사용
SKILL       4,	    29201,      ;귀환스크롤 사용
SKILL       5,	    29201,      ;귀환스크롤 사용
SKILL       6,	    29201,      ;귀환스크롤 사용
