;		ItemList in NPC					
#ignore	\o042			; 인용부호 무시			
#exchange	#	\x20		; # => space			
;		2006.01.25					

#Table	Tab00	;아이템 상점(엘더린)					
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	MightySoul01	Revival01	WolfClaw01	MagicBurst01	-	-
#Record	1	WindyRaid01	SilverLining01	NatureCasting01	ChainCasting01	-	-
#Record	2	Recipe_El3	Recipe_Lix3	Recipe_Xir3	-	-	-
#Record	3	Recipe_NorHpPotion	Recipe_NorSpPotion	Recipe_NorConHPPotion	Recipe_NorConSPPotion	-	-
#Record	4	Recipe_NorPsnResiPotion	Recipe_NorDssResiPotion	Recipe_NorCurResiPotion	Recipe_NorPsnCurPotion	Recipe_NorDssCurPotion	-
#Record	5	Recipe_NorTHScroll	Recipe_NorTBScroll	Recipe_NorMRScroll	Recipe_NorMaxSPScroll	Recipe_NorCurScroll	-
#Record	6	Converter1	Converter2	Converter3	Converter4	-	-
#Record	7	LowMagicCrystal	LowBeastLeather	LowMeat	LowSkin	LowSpiritDust	LowBrokenBone
#Record	8	LowCleanWater	LowKylinLeather	LowPledge	LowGemDust	LowSoulDust	LowBeastTooth
#Record	9	Dressing	Mustard	GoldDust	Vinegar01	Butter01	Sugar
#Record	10	Salt	Wine	Cheese01	ChiliSauce	SugarSauce	Oil
#Record	11	Egg	SoyaMilk	Liquor	Milk	Sweet	Cook_Boiled01
#Record	12	Cook_Pie02	Cook_Meatball01	Cook_Sausage01	Cook_Soup05	Cook_Stew03	Cook_Pudding01
#Record	13	Topaz	LowGoldOre	NorGoldOre	HighGoldOre	LowCopperOre	NorCopperOre
#Record	14	HighCopperOre	LowSilverOre	NorSilverOre	HighSilverOre	-	-
#Record	15	TripleHit12	MightySoul09	MoraleDecrease09	BashStrike06	BashStrike07	BashStrike08
#Record	16	BashStrike09	BersekerFrenzy07	BersekerFrenzy08	BersekerFrenzy09	CrushStrike06	CrushStrike07
#Record	17	CrushStrike08	CrushStrike09	ShockBlade04	ShockBlade05	KillDrain02	KillDrain03
#Record	18	KillDrain04	KillDrain05	MagicBlade01	MagicBlade02	MagicBlade03	MagicBlade04
#Record	19	MagicBlade05	MagicBlade06	SafeProtection06	SafeProtection07	PsychicBlunt08	PsychicBlunt09
#Record	20	PsychicChop08	PsychicChop09	DarknessProtection05	MentalShout08	MentalShout09	SilverLining08
#Record	21	SilverLining09	DivineWeapon07	DivineWeapon08	DivineWeapon09	Sacrifice07	Sacrifice08
#Record	22	Sacrifice09	PanicForce05	PanicForce06	HolySmite05	HolySmite06	ExplosionNova04
#Record	23	ExplosionNova05	ExplosionNova06	HorrorForce01	HorrorForce02	HorrorForce03	HorrorForce04
#Record	24	HorrorForce05	PowerShot09	PoisonShot09	BiteArrow09	SpiritFog08	SpiritFog09
#Record	25	HawkTalon05	HawkTalon06	PiercingGuard06	PiercingGuard07	PiercingGuard08	PiercingGuard09
#Record	26	MindBlast06	MindBlast07	MindBlast08	MindBlast09	ShockScream03	ShockScream04
#Record	27	ShockScream05	ShockScream06	StingEruption01	StingEruption02	StingEruption03	StingEruption04
#Record	28	StingEruption05	ManaBurn08	ManaBurn09	MagicBall08	IceBlast08	FireBall07
#Record	29	FireBall08	ChainLightning07	ChainLightning08	DrainMind04	Inferno05	CurseMagic03
#Record	30	DispelMagic01	ThunderBolt01	ThunderBolt02	ThunderBolt03	ThunderBolt04	ThunderBolt05
#Record	31	THSwdMastery10	THAxeMastery10	HammerMastery10	CBowMastery10	WandMastery10	-
#End							
