;		ItemList in NPC									
#ignore	\o042			; 인용부호 무시							
#exchange	#	\x20		; # => space							
;		2006.01.25									
											
#Table	Tab00	;아이템 상점									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	GoddessWing	-	-	-	-	StageRouRecallScroll				
#Record	1 	Pickaxe	Q_Peg	Q_Hammer	-	-	-				
#Record	2 	FlyStone	Dew	Hay	-	JewelCarrot01_6	JewelCarrot01_7				
#Record	3 	WoodenHorse04	-	-	-	-	-				
#Record	4 	House_MushRoom01	-	-	-	-	-				
#Record	5 	Dressing	Mustard	GoldDust	Vinegar01	Butter01	Sugar				
#Record	6 	Salt	Wine	Cheese01	ChiliSauce	SugarSauce	Oil				
#Record	7 	Egg	SoyaMilk	Liquor	Milk	Sweet	-				
#Record	8 	Cook_Pie02	Cook_Meatball01	Cook_Sausage01	Cook_Soup05	Cook_Stew03	Cook_Pudding01				
#End											
