;		ItemList in NPC									
#ignore	\o042			; 인용부호 무시							
#exchange	#	\x20		; # => space							
;		2006.01.25									
											
#Table	Tab00	;파이터 액티브									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	TripleHit07	TripleHit08	TripleHit09	TripleHit10	TripleHit11	-				
#Record	1 	SeverBone06	SeverBone07	SeverBone08	-	-	-				
#Record	2 	RedSlash07	RedSlash08	RedSlash09	RedSlash10	-	-				
#Record	3 	SnearKick03	SnearKick04	-	-	-	-				
#Record	4 	MightySoul05	MightySoul06	MightySoul07	MightySoul08	-	-				
#Record	5 	PowerHit06	PowerHit07	PowerHit08	PowerHit09	PowerHit10	-				
#Record	6 	MoraleDecrease05	MoraleDecrease06	MoraleDecrease07	MoraleDecrease08	-	-				
#Record	7 	SpeedShield06	SpeedShield07	SpeedShield08	SpeedShield09	-	-				
#Record	8 	HarmDefect05	HarmDefect06	HarmDefect07	HarmDefect08	-	-				
#Record	9 	GreatSwing03	GreatSwing04	GreatSwing05	GreatSwing06	-	-				
#Record	10 	PowerDrain03	PowerDrain04	PowerDrain05	PowerDrain06	-	-				
#Record	11 	BashStrike01	BashStrike02	BashStrike03	BashStrike04	BashStrike05	-				
#Record	12 	CrushStrike01	CrushStrike02	CrushStrike03	CrushStrike04	CrushStrike05	-				
#Record	13 	WindyRaid02	WindyRaid03	WindyRaid04	WindyRaid05	-	-				
#Record	14 	BashStrike06	-	-	-	-	-				
#Record	15 	SnearShout03	-	-	-	-	-				
#Record	16 	ShockBlade01	ShockBlade02	ShockBlade03	ShockBlade04	ShockBlade05	-				
#Record	17 	KillDrain01	KillDrain02	KillDrain03	KillDrain04	KillDrain05	-				
#Record	18 	MagicBlade01	MagicBlade02	MagicBlade03	MagicBlade04	MagicBlade05	-				
#Record	19 	TripleHit12	MightySoul09	CrushStrike06	CrushStrike07	CrushStrike08	-				
											
#Table	Tab01	;파이터 패시브									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	BraveMastery07	BraveMastery08	BraveMastery09	BraveMastery10	-	-				
#Record	1 	OHSwdMastery07	OHSwdMastery08	OHSwdMastery09	OHSwdMastery10	OHSwdMastery11	-				
#Record	2 	THSwdMastery06	THSwdMastery07	THSwdMastery08	THSwdMastery09	-	-				
#Record	3 	THAxeMastery06	THAxeMastery07	THAxeMastery08	THAxeMastery09	-	-				
											
#Table	Tab02	;클레릭 액티브									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	Heal11	Heal12	Heal13	Heal14	Heal15	Heal16				
#Record	1 	Heal17	-	-	-	-	-				
#Record	2 	Wield08	Wield09	Wield10	Wield11	Wield12	-				
#Record	3 	Blessing06	Blessing07	Blessing08	Blessing09	-	-				
#Record	4 	MentalShout05	MentalShout06	MentalShout07	-	-	-				
#Record	5 	DivineShield06	DivineShield07	DivineShield08	DivineShield09	-	-				
#Record	6 	Restore07	Restore08	Restore09	Restore10	Restore11	Restore12				
#Record	7 	DarknessProtection03	DarknessProtection04	-	-	-	-				
#Record	8 	HitProtection03	HitProtection04	HitProtection05	-	-	-				
#Record	9 	PsychicBlunt04	PsychicBlunt05	PsychicBlunt06	PsychicBlunt07	-	-				
#Record	10 	PsychicChop04	PsychicChop05	PsychicChop06	PsychicChop07	PsychicChop08	PsychicChop09				
#Record	11 	GreatHeal05	GreatHeal06	GreatHeal07	GreatHeal08	GreatHeal09	GreatHeal10				
#Record	12 	SafeProtection03	SafeProtection04	SafeProtection05	-	-	-				
#Record	13 	SilverLining02	SilverLining03	SilverLining04	SilverLining05	SilverLining06	SilverLining07				
#Record	14 	Sacrifice01	Sacrifice02	Sacrifice03	Sacrifice04	Sacrifice05	Sacrifice06				
#Record	15 	CrossCasting01	-	-	-	-	-				
#Record	16 	HolySmite01	HolySmite02	HolySmite03	HolySmite04	-	-				
#Record	17 	ExplosionNova01	ExplosionNova02	ExplosionNova03	-	-	-				
#Record	18 	ReverseOrder01	-	-	-	-	-				
#Record	19 	ShiningPurge01	-	-	-	-	-				
#Record	20 	DivineWeapon01	DivineWeapon02	DivineWeapon03	DivineWeapon04	DivineWeapon05	DivineWeapon06				
#Record	21 	PanicForce01	PanicForce02	PanicForce03	PanicForce04	PanicForce05	PanicForce06				
#Record	22 	HorrorForce01	HorrorForce02	HorrorForce03	HorrorForce04	HorrorForce05	-				
#Record	23 	ExplosionNova04	ExplosionNova05	ExplosionNova06	-	-	-				
											
#Table	Tab03	;클레릭 패시브									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	MaceMastery07	MaceMastery08	MaceMastery09	MaceMastery10	MaceMastery11	-				
#Record	1 	HammerMastery06	HammerMastery07	HammerMastery08	HammerMastery09	-	-				
#Record	2 	HolySpirit07	HolySpirit08	HolySpirit09	HolySpirit10	-	-				
											
#Table	Tab04	;아처 액티브									
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]				
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05				
#Record	0 	AimingShot07	AimingShot08	AimingShot09	-	-	-				
#Record	1 	PowerShot06	PowerShot07	PowerShot08	-	-	-				
#Record	2 	PuryImpact06	PuryImpact07	PuryImpact08	PuryImpact09	-	-				
#Record	3 	BoneArrow06	BoneArrow07	BoneArrow08	BoneArrow09	-	-				
#Record	4 	MultiShot06	-	-	-	-	-				
#Record	5 	PoisonShot04	PoisonShot05	PoisonShot06	PoisonShot07	PoisonShot08	-				
#Record	6 	SpiritFog03	SpiritFog04	SpiritFog05	SpiritFog06	SpiritFog07	-				
#Record	7 	HawkTalon01	HawkTalon02	HawkTalon03	HawkTalon04	-	-				
#Record	8 	MistCharge01	MistCharge02	MistCharge03	-	-	-				
#Record	9 	SpiritThorn01	SpiritThorn02	SpiritThorn03	SpiritThorn04	-	-				
#Record	10 	ShockScream01	ShockScream02	ShockScream03	ShockScream04	ShockScream05	ShockScream06				
#Record	11 	StingEruption01	StingEruption02	StingEruption03	StingEruption04	-	-				
