;		Project-G FieldInform																																																																				
																							; •Ã´T? ?Ωπ¥¬≠Õ∞€ ©≤©g??? ?? ΩU¨‹®j ™˙??(´£´Û ®l?©V? ??™Õ§˜ ∞€´uØÚ ??)																																															
#Ignore	\o042						; ®c?¶Û? §Ω?																;	CanRecall´T 0? ´˘?																																														
#Exchange	#	\x20					; # => space																																																															
;#delimeter	\x20																						; •Ã ±œ´T? ?Ωπ¥¬≠Õ∞€ ©≤©g???? ???´£ ∞€´u ØÚ? ?ΩF§˜ ?Ωπ¥¬≠ÕØT ßxº±®j ΩF?Ø≥? ®l?¥  ØÚ? ???(??™Õ§˜ ®l?¥ ØÚ ??)																																															
#Table	FieldList																						;	"CanRecall´T? 1?, CanSilverWingLocSet´T? 0? ´˘?"																																														
;																		20070417 Øv∞⁄(Chamsol)																																																				
#ColumnType	String[13]	String[4]	String[4]	BYTE	String[32]	byte	dwrd	dwrd	word	String[32]	Byte	Byte	Byte	Byte	Byte	Byte	Byte	Byte	Byte	BYTE	String[12]	DWRD	DWRD		Byte	Byte	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	WORD	BYTE		BYTE		BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE
;													CanAttack																															"◊Î¶Û 12,107"		"◊Î¶Û 12,107"		"◊Î¶Û 106,107:108"	108CJC	◊Î¶Û 23	◊Î¶Û 24							◊Î¶ÛßVß„?? 116?	ß[? ?????											
#ColumnName	MapIDClient	SubFrom	SubTo	Serial	MapName	KQ	xsize	ysize	immortalsec	ScriptName	ItemDropByKilled	Pker	EnemyGuild	Party	Monster	Summoned	IsPKKQ	IsFreePK	IsPartyBattle	NameHide	RegenCity	RegenX	RegenY		CanRestart	CanRecall	CanTrade	CanMiniHouse	CanItem	CanSkill	Chat	Shout	CanBooth	CanProduce	CanRide	CanStone	CanSilverWingLocSet	CanParty	ExpLostAtDead	UsrSubLayer		CheckSum		Internal0	Internal0CT	Internal1	Internal1CT	Internal_1_2	CJC108	Int_Japan	Int_China	Piesta	ZIO	Hi5	ZIO_RouOnly	InternalLee	Lunar	InternalSun	ChinaTest	Internal0NotKQ	Internal1NotKQ	Internal0KQ	Internal0OnlyMD	Internal1OnlyMD	Internal0Promote	Internal0Normal	Internal0PKKQ	Internal1PKKQ	Internal0GoldHill	Chamsol
;#Record	Rou	-	-	0 	???	0 	256 	256 	5000 	-	0 	1 	0 	0 	2 	0 	0 	0 	0 	0 	Rou	4134	6488		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 		0 		0 	0 	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	1 	0 	0 
#Record	Rou	-	-	0 	???	0 	256 	256 	5000 	-	2 	1 	0 	0 	2 	0 	0 	0 	0 	0 	Rou	4134	6488		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 		0 		0 	0 	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	1 	0 	0 
#Record	RouCos01	-	-	1 	Ÿ^#˛Í1	0 	512 	512 	5000 	-	2 	1 	1 	0 	2 	0 	0 	0 	0 	0 	Rou	4134	6488		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 		1 		0 	1 	1 	0 	1 	0 	0 	0 	1 	2 	1 	1 	0 	1 	1 	1 	0 	1 	1 	0 	0 	1 	0 	1 	0 	1 	1 
#Record	RouCos02	-	-	2 	¬Kß˙•nÆy1	0 	512 	512 	5000 	-	2 	1 	1 	0 	2 	0 	0 	0 	0 	0 	Rou	4134	6488		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 		2 		0 	1 	1 	0 	0 	0 	0 	0 	2 	0 	2 	2 	0 	1 	1 	0 	0 	1 	1 	0 	0 	1 	0 	1 	0 	1 	1 
#Record	RouCos03	-	-	3 	?´ß#˛ÍŸÒ	0 	512 	512 	5000 	-	2 	1 	1 	0 	2 	0 	0 	0 	0 	0 	Eld	14618	13435		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 		3 		0 	1 	1 	0 	1 	9 	0 	0 	0 	1 	0 	1 	0 	1 	1 	1 	0 	1 	1 	1 	0 	1 	0 	1 	0 	1 	1 
#Record	RouCos04	-	-	4 	§‹π¸#Ãaéi	0 	256 	256 	5000 	-	2 	1 	1 	0 	2 	0 	0 	0 	0 	0 	Rou	4134	6488		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 		4 		0 	1 	1 	0 	0 	9 	0 	0 	1 	2 	1 	1 	1 	1 	1 	0 	0 	1 	1 	1 	0 	1 	0 	1 	0 	1 	1 
#Record	RouTemDn01	-	-	5 	∞A≥◊#Æ_?#?1?	0 	256 	256 	5000 	-	2 	1 	1 	0 	2 	0 	0 	0 	0 	0 	Eld	14618	13435		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	1 	1 	1 	1000 	0 		5 		0 	1 	1 	0 	1 	9 	0 	0 	2 	0 	2 	2 	1 	1 	1 	1 	0 	1 	1 	1 	0 	1 	0 	1 	0 	1 	1 
#Record	RouTemDn02	-	-	6 	∞A≥◊#Æ_?#?2?	0 	256 	256 	5000 	-	2 	1 	1 	0 	2 	0 	0 	0 	0 	0 	Eld	14618	13435		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	1 	1 	1 	1000 	0 		6 		0 	1 	1 	0 	0 	9 	0 	0 	0 	1 	0 	2 	1 	1 	1 	0 	0 	1 	1 	1 	0 	1 	0 	1 	0 	1 	1 
#Record	RouVal01	-	-	7 	Æ{∏œ#•nÆy	0 	512 	512 	5000 	-	2 	1 	1 	0 	2 	0 	0 	0 	0 	0 	Rou	4134	6488		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 		7 		0 	1 	1 	0 	1 	0 	0 	0 	1 	2 	1 	1 	1 	1 	1 	1 	0 	1 	1 	1 	0 	0 	0 	1 	0 	1 	1 
#Record	RouVal02	-	-	8 	§ß??#´z	0 	256 	256 	5000 	-	2 	1 	1 	0 	2 	0 	0 	0 	0 	0 	Eld	14618	13435		1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1000 	0 		8 		0 	1 	1 	0 	0 	9 	0 	0 	2 	0 	2 	2 	1 	1 	1 	0 	0 	1 	1 	1 	0 	1 	0 	1 	0 	1 	1 
