;	TreasureReward												
;													
													
#Ignore	\o042									; 인용부호 무시			
#Exchange	#	\x20								; # => space			
;#delimeter	\x20												
#Table	Container												
#ColumnType		DWRD	WORD	String[33]	WORD	WORD	String[33]						
#ColumnName		ItemID	Index	CardInx	MinLot	MaxLot	DummyInx						
													
#Table	Content												
#ColumnType		DWRD	WORD		String[33]	WORD	BYTE	BYTE	DWRD	WORD			
#ColumnName		ItemID	Index		RewardInx	RewardLot	UpgradeLow	UpgradeHigh	RewardRate	CheckSum			
													
													
;													
#RecordIn	Container	0	0	Tbag01	1	1	DTbag01					;	
#RecordIn	Content	1001	0		BestLowHpPotion	1	0	0	150000	1001		;	15
#RecordIn	Content	1002	0		LowHpPotion	1	0	0	50000	1002		;	5
#RecordIn	Content	1003	0		BestLowSpPotion	1	0	0	120000	1003		;	12
#RecordIn	Content	1004	0		LowSpPotion	1	0	0	50000	1004		;	5
#RecordIn	Content	1005	0		CopperLump	1	0	0	120000	1005		;	12
#RecordIn	Content	1006	0		SilverLump	1	0	0	50000	1006		;	5
#RecordIn	Content	1007	0		BestLowACScroll	1	0	0	60000	1007		;	6
#RecordIn	Content	1008	0		BestLowTHScroll	1	0	0	60000	1008		;	6
#RecordIn	Content	1009	0		LightningRoumenSword	1	0	0	60000	1009		;	6
#RecordIn	Content	1010	0		LightningCutlas	1	0	0	25000	1010		;	2.5
#RecordIn	Content	1011	0		LightningSplitter	1	0	0	5000	1011		;	0.5
#RecordIn	Content	1012	0		LightningHeavenHammer	1	0	0	60000	1012		;	6
#RecordIn	Content	1013	0		LightningHorsemansHammer	1	0	0	25000	1013		;	2.5
#RecordIn	Content	1014	0		LightningWarHammer	1	0	0	5000	1014		;	0.5
#RecordIn	Content	1015	0		LightningRoumenBow	1	0	0	60000	1015		;	6
#RecordIn	Content	1016	0		LightningHeavyBow	1	0	0	5000	1016		;	0.5
#RecordIn	Content	1017	0		LightningWarBow	1	0	0	5000	1017		;	0.5
#RecordIn	Content	1018	0		LightningRuneWand	1	0	0	60000	1018		;	6
#RecordIn	Content	1019	0		LightningPowerWand	1	0	0	25000	1019		;	2.5
#RecordIn	Content	1020	0		LightningFairyWand	1	0	0	5000	1020		;	0.5
;									"1,000,000 "			;	100
#RecordIn	Container	0	1	Tbag02	1	3	-					;	
#RecordIn	Content	2001	1		CopperLump	30	0	0	200000	2001		;	20
#RecordIn	Content	2002	1		LuckyLix2	5	0	0	150000	2002		;	15
#RecordIn	Content	2003	1		StageRouRecallScroll	3	0	0	100000	2003		;	10
#RecordIn	Content	2004	1		StageEldRecallScroll	3	0	0	100000	2004		;	10
#RecordIn	Content	2005	1		StageUrgRecallScroll	3	0	0	100000	2005		;	10
#RecordIn	Content	2006	1		StrNamedSilverRing	1	0	0	60000	2006		;	6
#RecordIn	Content	2007	1		RareRoumenNeck01	1	0	0	60000	2007		;	6
#RecordIn	Content	2008	1		LowStrCriPotion	5	0	0	30000	2008		;	3
#RecordIn	Content	2009	1		D_GiantGblKingCutlas	1	0	0	20000	2009		;	2
#RecordIn	Content	2010	1		D_GoblinSwordmanZweihander	1	0	0	20000	2010		;	2
#RecordIn	Content	2011	1		GobleKingPoleAxe	1	0	0	20000	2011		;	2
#RecordIn	Content	2012	1		S_WereBearHorsemansFlail	1	0	0	20000	2012		;	2
#RecordIn	Content	2013	1		D_GiantGblKingHorsemansHammer	1	0	0	20000	2013		;	2
#RecordIn	Content	2014	1		D_GiantGblKingHeavyBow	1	0	0	20000	2014		;	2
#RecordIn	Content	2015	1		S_WereBearHeavyCrossBow	1	0	0	20000	2015		;	2
#RecordIn	Content	2016	1		RoboPowerStaff	1	0	0	20000	2016		;	2
